id,alias,name_JP,name,altname_JP,altname,aliasParent,aliasRef,aliasMtp,parentFactor,lvFactor,encFactor,encSlot,mtp,LV,chance,value,cost,geneSlot,sort,target,proc,type,group,category,categorySub,abilityType,tag,thing,eleP,cooldown,charge,radius,max,req,idTrainer,partySkill,tagTrainer,levelBonus_JP,levelBonus,foodEffect,***,langAct,detail_JP,detail,textPhase_JP,textPhase,textExtra_JP,textExtra,textInc_JP,textInc,textDec_JP,textDec,textAlt_JP,textAlt,adjective_JP,adjective
0,_void,無,Void,"無,ヴォイド,無の","void,void,void",,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
1,lv,レベル,Level,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Level,ELEMENT,,,,hidden,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
2,quality,品質,Quality,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,trait,,50,0,10,5,0,,,0,,,,,,,,,,,アイテム品質,Item Quality,,,,,"品質,粗悪品,普通の出来,まあまあの出来,良い出来,素晴らしい出来,極上品","Quality,Tarnished,Common Quality,Fair Quality,Fine Quality,Premium Quality,Royal Quality",,
3,d,d,d,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
5,socket,ソケット,Socket,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
10,nutrition,栄養,Nutrition,,,,,,0,0,100,global,1,1,0,0,0,1,0,,,Element,ELEMENT,,,,"common,hidden",,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
11,weight,重さ,Weight,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
12,size,大きさ,Size,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
13,hardness,硬さ,Hardness,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
14,growth,成長,Growth,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
